X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power
26617.530733272215,124379.7739394852,-69.57760520212472,52877.19642353865,3.1400462023459426,2145.4467068021404,0.0014635862043976247,0.45943999348985964,0.6478427656306154
24606.93463319999,125128.4026152,-66.61442248372104,54991.59394672078,2.9631827184036723,2114.3975231821314,0.0014014312284778435,0.47096139560010636,0.648752358704325
22666.225210927776,125967.64264304817,-63.84860580253655,57079.117739405556,2.7658166811844964,2087.5237926847767,0.0013249270216112734,0.4845327974033373,0.650481798274408
20792.39582222222,126887.70731851853,-61.29560026439347,59142.664472635144,2.5530055381430756,2063.5467332295884,0.0012371929828540683,0.49969053557030063,0.6528708678588856
18982.439822850007,127878.8099371,-58.96643669531512,61183.92924236379,2.3291635690783536,2041.2647697286448,0.001141039420078735,0.5160211509197766,0.6557709650644762
17233.350568577778,128931.16379428149,-56.8686290486074,63203.50124906115,2.0978076467077145,2019.572006697359,0.001038738722734768,0.5331918983252919,0.6590603571277545
15542.121415172223,130034.98218555187,-55.00719885697288,65200.97140227099,1.8614301916345255,1997.4701532098406,9.318938701753932E-4,0.550967707233424,0.6626535187314972
13905.745718400001,131180.4784064,-53.385731734414136,67175.04656490542,1.621467122558741,1974.0751626344354,8.213806410465479E-4,0.569217922218583,0.6665059495721074
12321.216834027779,132357.8657523148,-52.0074087335677,69123.66667434476,1.3783230008464358,1948.6201094393327,7.073328424405044E-4,0.587917025730556,0.670616405781343
10785.528117822221,133557.3575187852,-50.87599015563245,71044.12253581447,1.13141857793525,1920.4558614697162,5.891406309486082E-4,0.6071433795670825,0.6750284942431958
9295.672925549989,134769.16700130003,-49.996757148507,72933.1735602367,0.8792330071254497,1889.0510244222241,4.654363464821537E-4,0.6270793751380211,0.6798333555655481
7848.644612977776,135983.50749534817,-49.37743637113251,74787.16608698704,0.6193207773744902,1853.9925267503422,3.3404707324254595E-4,0.6480156693545103,0.6851749159969804
6441.436535872213,137190.5922964185,-49.02914599845966,76602.15423274199,0.34829037267284946,1814.988145754949,1.918967754623851E-4,0.6703616112735766,0.6912590336339464
5071.042050000004,138380.6347,-48.967408261661724,78374.026528943,0.06173773679793726,1771.872296201007,3.484322032142369E-5,0.6946635458639189,0.6983678100717964
3734.454511127784,139543.8480015815,-49.213274015885354,80098.64307237374,-0.24586575422362955,1724.6165434307477,1.425625627680345E-4,0.6931197163499055,0.6783677710964874
2428.6672750222206,140670.44549665187,-49.79459485501291,81771.98965568475,-0.5813208391275566,1673.3465833110095,3.474001410857184E-4,0.6826996110652546,0.6478203607176016
1150.6736974499945,141750.6404807,-50.74744867759055,83390.35750762085,-0.9528538225776373,1618.3678519360983,5.887745616286834E-4,0.6697081585144605,0.6125369291598027
-102.53286582224246,142774.64624921483,-52.11765580098862,84950.55994957281,-1.3702071233980746,1560.2024419519585,8.782239320711463E-4,0.6532838204948269,0.5710713930909438
-1333.9590590277949,143732.67609768518,-53.962177960776756,86450.2003934854,-1.8445221597881343,1499.6404439125909,0.001229976270162279,0.6323380377774155,0.5216667081901287
-2546.611526400011,144614.94332160003,-56.34990934706194,87888.00915359448,-2.387731386285182,1437.808760109081,0.001660673834052872,0.6055645581832673,0.46230067500615807
-3743.496912172239,145411.66121644818,-59.36085781974567,89264.26799870885,-3.0109484726837294,1376.2588451143674,0.0021877777449877205,0.5715506796817393,0.39089377132071645
-4927.621860577798,146113.04307771852,-63.081896848661906,90581.33768263318,-3.7210390289162376,1317.069683924332,0.002825240816286244,0.5291070892388628,0.30584474750388824
-6101.9930158500065,146709.3022009,-67.59623373526215,91844.28793313898,-4.5143368866002405,1262.9502505058044,0.0035744376192112497,0.4779863446768815,0.20712613148086842
-7269.617022222243,147190.65188148152,-72.96315217564376,93061.59091452009,-5.36691844038161,1217.3029813811008,0.00440886001469619,0.4201215517418288,0.09810644531893303
-8433.50052392781,147547.30541495187,-79.1863111012496,94245.76864605561,-6.223158925605844,1184.1777315355284,0.005255257517413578,0.4366947677681753,0.06330523223182469
-9596.650165200059,147769.4760968,-86.1758279429078,95413.79176836478,-6.989516841658201,1168.0231223091687,0.005984056914763814,0.45968550524974605,0.040314494750253976
-10762.072590272277,147847.37722251483,-93.72189443058637,96586.96798421684,-7.546066487678573,1173.1762158520578,0.006432167977594052,0.4763819946303572,0.023618005369642814
-11932.774443377843,147771.2220875852,-101.50608022025423,97790.13531099145,-7.784185789667859,1203.1673267746082,0.006469744994268865,0.4835255736900362,0.01647442630996382
-13111.762368750045,147531.2239875,-109.1625646999258,99050.23686972617,-7.656484479671562,1260.101558734721,0.006076085238208479,0.479694534390146,0.020305465609853995
-14302.043010622278,147117.59621774813,-116.36508853170362,100394.66042369934,-7.202523831777825,1344.4235539731744,0.005357332375271337,0.46607571495333516,0.03392428504666484
-15506.623013227843,146520.55207381852,-122.8925191430066,101849.82230072781,-6.527430611302975,1455.1618770284695,0.0044857075452199024,0.44725216381709854,0.055606327138920886
-16728.509020800047,145730.3048512,-128.64512641887268,103440.2867777326,-5.752607275866083,1590.464477004789,0.0036169354041151263,0.5108846778644693,0.16572824131250527
-17970.70767757228,144737.06784538145,-133.62081636791507,105188.42985793746,-4.9756899490423905,1748.1430802048562,0.0028462715697500653,0.5646435414962652,0.2661021445537217
-19236.22562777785,143531.05435185178,-137.8773584802201,107114.48592610023,-4.256542112305027,1926.0560681627685,0.0022099782984849954,0.606698433520652,0.35130590678234874
-20528.069515650073,142102.4776660999,-141.49966594234792,109236.79230753667,-3.6223074621278215,2122.306381436443,0.0017067787638070102,0.6379913474831335,0.4206528997554642
-21849.245985422313,140441.5510836147,-144.5784195303744,111572.0983303803,-3.0787535880264727,2335.3060228436225,0.0013183512387286954,0.6605274837679246,0.4758022684863362
-23202.76168132786,138538.4878998851,-147.19873117477636,114135.86571845046,-2.6203116444019656,2563.7673880701623,0.0010220551429879785,0.6764038350332611,0.5191851363691431
-24591.623247600088,136383.50141039985,-149.4354281562604,116942.52957515881,-2.2366969814840445,2806.6638567083573,7.969237128764086E-4,0.6874085381568804,0.5532067192678378
-26018.83732847235,133966.80491064797,-151.35200201315894,120005.71257965307,-1.9165738568985375,3063.1830044942617,6.256804944681939E-4,0.6949291662601367,0.5799347348462245
-27487.410568177875,131278.6116961183,-153.00130011972524,123338.39558677192,-1.649298106566306,3332.683007118845,4.948859831683029E-4,0.6363709737966298,0.5374130874026514
-29000.34961095013,128309.13506229981,-154.42688536280238,126953.05146315464,-1.425585243077137,3614.6558763827197,3.9439030763387237E-4,0.44892679407281955,0.3633916794881896
-30560.661101022328,125048.58830468127,-155.66452691379484,130861.74941151877,-1.237641550992464,3908.6979483641335,3.1663780812493143E-4,0.28712924652977306,0.21287075347022694
-32171.35168262791,121487.18471875155,-156.743584787658,135076.23619876473,-1.0790578738631496,4214.486787245958,2.5603541506611537E-4,0.28237173621589534,0.21762826378410466
